Brand,Year,Model,Engine,Category,Sub-Category,Manufacturer,Part Number,Type,Price
AC,1968,428,7.0L V8,Transmission-Manual,Input Shaft Seal,NATIONAL,3638,N/A,$4.97
AC,1968,428,7.0L V8,Transmission-Manual,Main / Output Shaft Bearing,NATIONAL,307L,"Bore=1.378"", Outer Diameter=3.1496"", Width=0.8268""",$27.79
AC,1968,428,7.0L V8,Transmission-Manual,Main / Output Shaft Seal,NATIONAL,473234,N/A,$4.50
AC,1968,428,7.0L V8,Transmission-Manual,Reverse Idler Bearing,NATIONAL,C407Q,"Width=0.75""",$5.38
AC,1968,428,7.0L V8,Transmission-Manual,Shift Shaft Seal,NATIONAL,313156,N/A,$4.87
AC,1967,428,7.0L V8,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1967,428,7.0L V8,Engine,Oil Pan Gasket,FEL-PRO,OS11701D,N/A,$8.24
AC,1967,428,7.0L V8,Engine,Oil Pan Gasket,FEL-PRO,OS11701C,N/A,$8.34
AC,1967,428,7.0L V8,Engine,Oil Pan Gasket,MAHLE,OS30764,Cork-Rubber,$9.13
AC,1967,428,7.0L V8,Engine,Timing Cover Gasket / Set,FEL-PRO,TCS130751,N/A,$5.61
AC,1967,428,7.0L V8,Engine,Timing Cover Gasket / Set,MAHLE,JV819,N/A,$11.01
AC,1967,428,7.0L V8,Engine,Timing Cover Gasket / Set,FEL-PRO,TCS45167,N/A,$13.60
AC,1967,428,7.0L V8,Engine,Timing Cover Gasket / Set,MAHLE,JV921,N/A,$16.38
AC,1967,428,7.0L V8,Engine,Valve Cover Gasket,FEL-PRO,VS13049C,N/A,$5.00
AC,1967,428,7.0L V8,Engine,Valve Cover Gasket,MAHLE,VS38308,Cork-Rubber,$7.76
AC,1967,428,7.0L V8,Engine,Valve Cover Gasket,FEL-PRO,VS13049R,N/A,$9.00
AC,1967,428,7.0L V8,Engine,Valve Cover Gasket,MAHLE,VS38308R,Molded Rubber,$11.15
AC,1967,428,7.0L V8,Transmission-Manual,Bearing & Seal Overhaul Kit,USA STANDARD GEAR,ZMBK135,N/A,$87.79
AC,1967,428,7.0L V8,Transmission-Manual,Bearing & Seal Overhaul Kit,USA STANDARD GEAR,ZMBK135HD,N/A,$101.79
AC,1967,428,7.0L V8,Transmission-Manual,Bearing & Seal Overhaul Kit,USA STANDARD GEAR,ZMBK135WS,Includes Synchronizer Rings,$112.79
AC,1967,428,7.0L V8,Transmission-Manual,Bearing & Seal Overhaul Kit,USA STANDARD GEAR,ZMBK135HDWS,Includes Synchronizer Rings,$132.79
AC,1967,428,7.0L V8,Transmission-Manual,Countershaft Bearing,NATIONAL,QAR33724,"Width=0.9""",$8.19
AC,1967,428,7.0L V8,Transmission-Manual,Input Shaft Bearing,NATIONAL,209L,"Bore=1.7717"", Outer Diameter=3.3465"", Width=0.748""",$35.79
AC,1967,428,7.0L V8,Transmission-Manual,Input Shaft Repair Sleeve,NATIONAL,99112,N/A,$17.65
AC,1967,428,7.0L V8,Transmission-Manual,Input Shaft Seal,NATIONAL,3638,N/A,$4.97
AC,1967,428,7.0L V8,Transmission-Manual,Main / Output Shaft Bearing,NATIONAL,307L,"Bore=1.378"", Outer Diameter=3.1496"", Width=0.8268""",$27.79
AC,1967,428,7.0L V8,Transmission-Manual,Main / Output Shaft Seal,NATIONAL,473234,N/A,$4.50
AC,1967,428,7.0L V8,Transmission-Manual,Reverse Idler Bearing,NATIONAL,C407Q,"Width=0.75""",$5.38
AC,1967,428,7.0L V8,Transmission-Manual,Shift Shaft Seal,NATIONAL,313156,N/A,$4.87
AC,1963,ACE,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1963,ACE,2.6L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1963,ACECA,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1963,ACECA,2.6L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1963,GREYHOUND,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1962,ACE,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1962,ACE,2.6L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1962,ACECA,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1962,ACECA,2.6L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1962,GREYHOUND,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
AC,1961,ACE,2.0L L6,Electrical,Battery,DEKA,9A34,BCI Group 34; CCA 775,$151.99
AC,1961,ACE,2.0L L6,Electrical-Bulb & Socket,Headlamp Socket,WVE/AIRTEX/WELLS,1P1338,N/A,$3.34
